# Detected language: en (p=1.00)

[0.00s -> 4.20s]  Try sharing your slides.
[6440.44s -> 6442.44s]  can be solved by similar techniques
[6442.44s -> 6447.44s]  and then maybe that can drive the proof process, right?
[6447.44s -> 6450.44s]  So the kind of concept abstraction that I showed in COPRA
[6450.44s -> 6456.44s]  was very syntactic in nature,
[6456.44s -> 6461.44s]  like it was explicitly generating these subgoals as text
[6461.44s -> 6466.44s]  and then decomposing the problem in text
[6466.44s -> 6470.44s]  and then solving those subproblems in text.
[6470.44s -> 6471.44s]  But you could imagine a world
[6471.44s -> 6475.44s]  where you operate at the level of latent representations
[6475.44s -> 6477.44s]  and you take the latent representations
[6477.44s -> 6482.44s]  to cluster relevant problems.
[6482.44s -> 6487.44s]  Imagine an approach sort of like the laser approach,
[6487.44s -> 6489.44s]  right, but for theorem proving.
[6489.44s -> 6492.44s]  And I could imagine that such a process
[6492.44s -> 6497.44s]  could make use of the latent representations.
[6498.44s -> 6500.44s]  Yeah, thank you.
[6500.44s -> 6502.44s]  I think that's about everything
[6502.44s -> 6506.44s]  and let's say thanks again for giving this talk
[6506.44s -> 6511.44s]  and yeah, and later we will follow up on the slides
[6511.44s -> 6513.44s]  and also the video.
[6513.44s -> 6515.44s]  Sounds great, thank you very much.
[6515.44s -> 6517.44s]  Thank you.
[6517.44s -> 6518.44s]  Thank you so much.
[6518.44s -> 6520.44s]  Yeah, thanks, bye.
[6520.44s -> 6521.44s]  Bye.
[6521.44s -> 6522.44s]  Bye-bye.
[6541.44s -> 6542.44s]  Thank you.
[6571.44s -> 6586.44s]  Oh, Alex, there's like something.
[6586.44s -> 6589.44s]  There's a pop-up blocking the QR code.
[6589.44s -> 6592.44s]  All right, yeah, thank you.
[6592.44s -> 6594.44s]  Sorry about that.
[6622.44s -> 6624.44s]  Thank you.
[6652.44s -> 6654.44s]  Thank you.
[6682.44s -> 6684.44s]  Thank you.
[6712.44s -> 6714.44s]  Thank you.
[6742.44s -> 6744.44s]  Thank you.
[6772.44s -> 6774.44s]  Thank you.
[6802.44s -> 6804.44s]  Thank you.
[6832.44s -> 6834.44s]  Thank you.
[6862.44s -> 6864.44s]  Thank you.
[6892.44s -> 6894.44s]  Thank you.
[6922.44s -> 6924.44s]  Thank you.
[6952.44s -> 6954.44s]  Thank you.
[6982.44s -> 6984.44s]  Thank you.
[7012.44s -> 7014.44s]  Thank you.
[7042.44s -> 7044.44s]  Thank you.
[7072.44s -> 7074.44s]  Thank you.
[7102.44s -> 7104.44s]  Thank you.
[7132.44s -> 7134.44s]  Thank you.
[7162.44s -> 7164.44s]  Thank you.
