# Detected language: en (p=1.00)

[0.00s -> 6.34s]  So, we'll get started.
[4699.64s -> 4703.30s]  and then you up project this back into the Ks and Vs, right?
[4703.34s -> 4704.84s]  And if the Cs are small,
[4704.88s -> 4708.28s]  well, you've compressed the KV cache, that's good.
[4708.30s -> 4710.98s]  And then, in terms of the computation, right,
[4711.02s -> 4712.54s]  if you're thinking about flops,
[4712.58s -> 4714.54s]  well, you might think, well, this is not good
[4714.58s -> 4717.92s]  because I have to multiply an extra matrix WUK, right?
[4717.96s -> 4719.56s]  I didn't have this matrix before,
[4719.58s -> 4722.72s]  does an extra matrix multiply that I have to pay for?
[4722.76s -> 4724.36s]  But kind of the clever thing here
[4724.38s -> 4727.48s]  is remember that on the other side of K, right,
[4727.52s -> 4729.56s]  I'm gonna take K dot Q, right,
[4729.58s -> 4731.72s]  that Q dot K is gonna be an inner product
[4731.76s -> 4733.46s]  in the attention operation, right?
[4733.48s -> 4736.96s]  And Q itself has a projection matrix Q.
[4737.00s -> 4740.10s]  And so the trick here is you can merge this WUK
[4740.12s -> 4742.66s]  and this Q matrix together into one matrix.
[4742.70s -> 4745.20s]  I haven't gotten any extra matrix multiplies,
[4745.24s -> 4747.34s]  I've just merged this new matrix multiply
[4747.36s -> 4748.70s]  into my other one, right?
[4748.74s -> 4752.24s]  This is just associativity, I can just merge the two.
[4752.26s -> 4753.72s]  They also compress the queries
[4753.76s -> 4755.42s]  for memory savings during training,
[4755.46s -> 4758.16s]  but really, that one is not quite as necessary
[4758.20s -> 4761.86s]  because it doesn't interact at all with the KB cache.
[4761.90s -> 4764.84s]  I'm only gonna mention this last one in passing
[4764.86s -> 4766.30s]  because it is a subtlety,
[4766.34s -> 4769.00s]  but it's kind of a clever subtlety that you realize,
[4769.04s -> 4771.04s]  which is that this original trick,
[4771.08s -> 4773.14s]  this sort of thing that I just described at the top,
[4773.18s -> 4775.54s]  is not compatible with ROPE, right?
[4775.58s -> 4778.68s]  And the reason is because, you know, the ROPE matrices,
[4778.72s -> 4781.28s]  you know, basically, you have the Qs and the Ks
[4781.32s -> 4783.32s]  and you rotate each of those Qs and the Ks
[4783.36s -> 4786.86s]  by multiplying with a rotation matrix RQ and RK,
[4786.90s -> 4789.36s]  but if you do that, then these RQs and RKs
[4789.40s -> 4791.84s]  are in between the query projection
[4791.86s -> 4794.90s]  and this latent vector up projection matrix.
[4794.94s -> 4797.48s]  And since I can't reorder these matrix multiplies,
[4797.50s -> 4799.18s]  you know, ROPE kind of gets in the way.
[4799.20s -> 4802.44s]  And they still have a solution of basically
[4802.48s -> 4804.82s]  doing ROPE on non-compressed dimensions.
[4804.84s -> 4806.12s]  That's kind of a side point,
[4806.14s -> 4807.52s]  I think it's not quite as important.
[4807.54s -> 4808.58s]  You can kind of look at the paper
[4808.62s -> 4810.02s]  if you're super interested.
[4810.06s -> 4811.02s]  The other thing that they do,
[4811.06s -> 4812.76s]  and this is the last thing I promise,
[4812.80s -> 4814.96s]  is that they have a minor change
[4815.00s -> 4817.54s]  in their loss function called MTP,
[4817.56s -> 4820.76s]  where they predict multiple tokens in parallel.
[4820.80s -> 4823.10s]  And so what they can do is normally, right,
[4823.14s -> 4826.20s]  you have your inputs, you shift them to the left by one,
[4826.24s -> 4828.14s]  so you're predicting one token in the future,
[4828.18s -> 4830.32s]  and then your transformer is gonna predict all those tokens.
[4830.34s -> 4833.42s]  Right, that's your normal transformer loss.
[4833.44s -> 4835.08s]  But then what you can do
[4835.12s -> 4837.28s]  is right before you make those predictions,
[4837.32s -> 4839.32s]  you can take, you know, the hidden state,
[4839.36s -> 4842.72s]  you can pass it to a very lightweight one-layer transformer,
[4842.76s -> 4844.96s]  and that model can predict, you know,
[4845.00s -> 4846.56s]  one token in the future, right?
[4846.60s -> 4848.76s]  So now the model's not just predicting the next token,
[4848.80s -> 4851.76s]  it's predicting the two tokens into the future, right?
[4851.80s -> 4853.96s]  So that hopefully all makes sense.
[4854.00s -> 4855.50s]  And this is just a small, lightweight model
[4855.54s -> 4856.54s]  that can do that.
[4857.68s -> 4860.14s]  You can sort of see the architecture right here.
[4860.18s -> 4861.82s]  The one thing that is kind of disappointing
[4861.84s -> 4863.48s]  that I learned as I was sort of researching
[4863.52s -> 4865.68s]  for this lecture is actually they only do MTP
[4865.72s -> 4867.24s]  with one token ahead, so even though they have
[4867.28s -> 4868.88s]  this very complicated diagram
[4868.88s -> 4871.18s]  of how they could do it for many tokens,
[4871.22s -> 4873.78s]  turns out it's only done for one token.
[4873.82s -> 4876.72s]  Okay, so now I'm all done.
[4876.76s -> 4878.96s]  MOEs are kind of now at the core
[4878.98s -> 4881.22s]  of how you would build and deploy, you know,
[4881.26s -> 4883.86s]  a really high-performance, large-scale system.
[4883.90s -> 4886.26s]  And they take advantage of kind of the sparsity idea
[4886.30s -> 4890.80s]  that you don't need all of the parameters all the time.
[4890.84s -> 4893.04s]  And discrete routing is the real big challenge,
[4893.06s -> 4894.48s]  and this is, I think, one of the big reasons
[4894.50s -> 4896.30s]  why MOEs didn't immediately catch on.
[4896.34s -> 4898.04s]  It's very scary to have to try
[4898.04s -> 4900.78s]  to optimize this top K routing decisions,
[4900.80s -> 4902.54s]  but heuristics somehow seem to work, right?
[4902.58s -> 4903.78s]  Like, they just do.
[4903.80s -> 4906.28s]  And so, there's a lot of empirical evidence now
[4906.32s -> 4909.58s]  that MOEs, at least for flop-constrained settings,
[4909.62s -> 4911.94s]  is just a good idea, it's cost-effective,
[4911.98s -> 4912.78s]  you should do it.
[4912.82s -> 4915.26s]  So, definitely worth learning.
[4915.28s -> 4917.76s]  Thanks a lot for listening.
